,relateid,actual,predicted,age_confidence,type_confidence,desc,atlas_estimate,color
0,100101,QCUU,QTUU,0.9988802311862116,1.0,CLAY,QSH,UNKNOWN
1,100101,QFUU,QTUU,0.9967876288008584,1.0,SAND,QVT,UNKNOWN
2,100103,QCUU,QTUU,0.9933042141642873,1.0,CLAY,QVT,UNKNOWN
3,100103,QFUU,QTUU,0.9957299117918292,1.0,SAND,QVT,UNKNOWN
4,100104,QCUU,QTUU,0.9917299246662217,1.0,CLAY,QVT,UNKNOWN
5,100104,QFUU,QTUU,0.9978958586827417,1.0,SAND,QVT,UNKNOWN
6,100104,QCUU,QTUU,0.5161320146797074,1.0,CLAY,QVT,UNKNOWN
7,100104,QGUU,QTUU,0.6024965956000865,1.0,GRAVEL,QVT,UNKNOWN
8,100104,QCUU,PMSU,0.9388306930496455,0.6974063204963591,CLAY,QVT,UNKNOWN
9,100104,QFUU,OSTP,0.8090496047315551,0.9995571829058899,SAND,QS2,UNKNOWN
10,100104,QCUU,QLUU,0.8067341122616848,1.0,CLAY & SHALE,QSC,UNKNOWN
11,100104,CSLT,OSTP,0.9992774817174755,0.978858668757638,ST. LAWRENCE,CTMZ,UNKNOWN
12,100105,QCUU,QTUU,0.9541341744922488,1.0,CLAY,QHT,UNKNOWN
13,100105,QNUU,QGUU,0.9990049942986378,1.0,MUDDY SANDY,QVT,UNKNOWN
14,100105,QFUU,QGUU,0.9999535089968721,1.0,WATER SAND,QVT,UNKNOWN
15,100106,QCUU,QTUU,0.9985697418309974,1.0,CLAY,QSH,UNKNOWN
16,100106,QFUU,QTUU,0.999785832390348,1.0,SAND,QSH,UNKNOWN
17,100106,QFUU,QGUU,0.9999631862412721,1.0,WATER SAND,QVT,UNKNOWN
18,100107,QNUU,QWUU,0.9969987967901226,1.0,DIRTY SAND,QSH,UNKNOWN
19,100107,QCUU,QTUU,0.9997002840584011,1.0,CLAY,QSH,UNKNOWN
20,100107,QFUU,QTUU,0.998944129086976,1.0,SAND,QS3,UNKNOWN
