,relateid,actual,predicted,age_confidence,type_confidence,desc,atlas_estimate,color
0,100104,CSLT,CSTL,0.9743828199280407,0.9282245882310233,ST. LAWRENCE,CTMZ,UNKNOWN
1,100112,OSPC,CJDN,0.9297468691027047,0.9996050441282618,ROCK,OPSH,UNKNOWN
2,100115,OSTP,QUUU,0.9290010268317346,0.6591943285082765,SANDROCK,QCS,UNKNOWN
3,100119,OSTP,CJDN,0.918706976959832,0.9993905626951968,SANDROCK,OSTP,UNKNOWN
4,100120,OSTP,CJDN,0.8877562456986864,0.9994974984781405,SANDSTONE,OSTP,UNKNOWN
5,100121,OSTP,CJDN,0.8601634531647303,0.9994447997983406,SANDSTONE,OSTP,UNKNOWN
6,100140,OSTP,CJDN,0.9066435185037203,0.9978321764512283,CLAY,OSTP,UNKNOWN
7,100140,FILL,QUUU,0.9341227651555731,0.7688784264067745,FILL,QHI,UNKNOWN
8,100141,OPDC,CJDN,0.6428671792564818,0.9929659983360706,SHAKOPEE,OPSH,UNKNOWN
9,100142,OPDC,QBUU,0.6407703572579312,0.9984905706774263,SHAKOPEE,OPSH,UNKNOWN
10,100143,OPDC,QBUU,0.5327167711586457,0.6145043141372347,SHAKOPEE,OPSH,UNKNOWN
11,100149,OPDC,CJDN,0.8333537088340522,0.9763536213680236,SHAKOPEE ROCK,OPSH,UNKNOWN
12,100156,RUUK,QUUK,0.9993000929993687,0.981322536855432,TOPSOIL,QSH,BLACK   
13,100157,RUUK,QUUK,0.9986588223045528,0.981322536855432,TOPSOIL,QHT,BLACK   
14,100158,RUUK,QUUK,0.9960880166233119,0.9866016849468877,TOP SOIL,QHT,BLACK   
15,100159,RUUK,QUUK,0.9965275595488029,0.9869539306480789,TOP SOIL,QHT,BLACK   
16,100160,RUUK,QUUK,0.9962689739882743,0.9869539306480789,TOP SOIL,QHT,BLACK   
17,100163,CWEC,CJDN,0.6780871861995412,0.8866635079504723,LENSES OF HARD ROCK & SANDSTONE,CECR,WHITE   
18,100163,RUUK,QUUK,0.9969903854056403,0.9866016849468877,TOP SOIL,QHT,BLACK   
19,100164,RUUK,QUUK,0.9972450052409115,0.9867500753499641,TOP SOIL,QSH,BLACK   
20,100166,RUUK,QUUK,0.999084297189394,0.981322536855432,TOPSOIL,QHT,BLACK   
21,100170,FILL,QUUU,0.8681321483436002,0.7688784264067745,FILL,QHT,UNKNOWN
22,100173,RUUU,QUUU,0.9958165485697521,0.9866016849468877,TOP SOIL,QHT,UNKNOWN
23,100180,RUUK,QUUK,0.9937100202649757,0.8938635222356096,SOIL,QHT,BLACK   
24,100183,OPDC,CJDN,0.8354067979056681,0.9995125016413863,ROCK,OPOD,UNKNOWN
25,100183,QCUU,OPDC,0.9045569504453326,0.999051671806995,CLAY,OPOD,UNKNOWN
26,100183,RUUU,QWUU,0.9992359843283151,0.9995986495323554,SANDY SOIL,QHT,UNKNOWN
27,100186,RUUK,QUUK,0.99261551693388,0.8938635222356096,SOIL,UNKNOWN,BLACK   
28,100188,CJDN,QFUU,0.5543505394932042,0.8809387464089566,SANDSTONE,CJDN,UNKNOWN
29,100188,OSTP,CJDN,0.7912567671309024,0.9588732495487924,SANDROCK & SHALE,OSTP,UNKNOWN
30,100188,QCUG,OSTP,0.5254525686479137,0.997072401442943,GUMMY CLAY,QS2,GRAY    
31,100189,RUUK,QUUK,0.9990343249349749,0.981322536855432,TOPSOIL,QHT,BLACK   
32,100191,OPVL,CJDN,0.9774879942455332,0.9963339409086142,LIMEROCK,OSTP,UNKNOWN
33,100194,CSLT,CJDN,0.977299785046861,0.6411505310626946,MIXED ROCKS,CSTL,UNKNOWN
34,100195,QPUU,QUUU,0.9673587480892496,0.8164109069196476,MIXED,QCS,UNKNOWN
35,100195,QFUU,QNUU,0.9997982406587258,0.7328533222879139,SWAMP SAND,QHI,UNKNOWN
36,100207,OSTP,CJDN,0.731733372461092,0.9982555794043916,SANDSTONE,OSTP,YELLOW  
37,100207,RUUK,QUUK,0.9994105469943919,0.981322536855432,TOPSOIL,QHT,BLACK   
38,100208,OPVL,CJDN,0.9899783090353378,0.9293438259959547,LIMESTONE,OSTP,YELLOW  
39,100208,RUUK,QUUK,0.987366385933497,0.981322536855432,TOPSOIL,UNKNOWN,BLACK   
40,100210,OSTP,CSTL,0.6739029416701536,0.7419533511787887,SHALE,QSF2,UNKNOWN
41,100210,QPUG,OSTP,0.5315836870731099,0.999997113817546,CLAY-GRAVEL LEDGES,QSC,GRAY    
42,100211,RUUK,QUUK,0.9967563241547097,0.9869539306480789,TOP SOIL,QHT,BLACK   
43,100212,CJDN,QFUW,0.5811936854855286,0.8235191057539298,WHITE SANDSTONE,CJDN,WHITE   
44,100212,OSTP,CJDN,0.8759174974591657,0.9942805207395861,SHALE & SANDSTONE,CJDN,WHITE   
45,100212,QPUR,OSTP,0.8264003202396322,0.9998483427028085,CLAY & GRAVEL,QSF2,RED     
46,100212,RUUK,QUUK,0.9965462619990966,0.9867500753499641,TOP SOIL,QHT,BLACK   
47,100216,RUUK,QUUK,0.9965220835750817,0.9869539306480789,TOP SOIL,UNKNOWN,BLACK   
48,100227,CTCG,CSTL,0.7374750122151459,0.9818391304147336,CREVICE,CSTL,UNKNOWN
49,100227,CJDN,QBUO,0.7058898617668012,0.9994021077758717,LIMESTONE,UNKNOWN,ORANGE  
50,100227,RUUB,QUUB,0.9958890886096949,0.9867500753499641,TOP SOIL,UNKNOWN,BROWN   
51,100229,RUUB,QUUB,0.9847638065811523,0.9869539306480789,TOP SOIL,UNKNOWN,BROWN   
52,100236,RUUK,QUUK,0.9980156014127828,0.981322536855432,TOPSOIL,QVT,BLACK   
53,100238,RUUK,QUUK,0.9989849140767706,0.981322536855432,TOPSOIL,QHT,BLACK   
54,100239,QPUY,OSTP,0.6717180070061404,0.9896761122980067,CLAY & GRAVEL,QSF1,YELLOW  
55,100244,RUUU,QNUU,0.9885690977440154,0.8185050641748026,DIRT & GRAVEL,QSH,UNKNOWN
56,100246,RUUU,QUUU,0.9990399815891101,0.981322536855432,TOPSOIL,QHT,UNKNOWN
57,100255,RUUU,QUUU,0.9974121672335933,0.9869539306480789,TOP SOIL,QSH,UNKNOWN
58,100256,OPDC,CJDN,0.6865212442388714,0.9966685177154279,ROCK,OSTP,YEL/GRN 
59,100256,QCUB,QCUY,0.9425026469280159,0.9899500369553356,CLAY,UNKNOWN,YELLOW  
60,100256,QCUU,QCUL,0.9425026469280159,0.9899500369553356,CLAY,UNKNOWN,GREEN   
61,100256,QCUG,QUUG,0.9863590929420569,0.9880022067329977,NO RECORD,QVT,BLUE    
62,100256,QCUY,QUUY,0.9873120110977261,0.9880022067329977,NO RECORD,QHT,YELLOW  
63,100260,OSTP,CJDN,0.7302183699337028,0.9694798389493932,CREVICE,OSTP,UNKNOWN
64,100260,QUUU,OSTP,0.5736330962138467,0.9397133016531709,MIXED,OSTP,UNKNOWN
65,100260,QGUU,OSTP,0.5237295253976553,0.9832221728760633,GRAVEL,QCS,UNKNOWN
66,100260,QGUU,OPVL,0.6245420433713327,0.7717092534577586,GRAVEL,QS2,DARK    
67,100260,QCUR,QUUR,0.975518742451945,0.9864831653259801,DRIFT,QTT,RED     
68,100260,QCUY,QUUY,0.9684525146905107,0.9864831653259801,DRIFT,QVT,YELLOW  
69,100260,FILL,QUUU,0.9348802773829571,0.7688784264067745,FILL,UNKNOWN,UNKNOWN
70,100261,FILL,QGUY,0.974710261608202,0.9983430123362049,GRAVEL FILL,QHI,YELLOW  
71,100268,RUUU,QUUU,0.9971479599521091,0.9867500753499641,TOP SOIL,QHT,UNKNOWN
72,100275,RUUU,QUUU,0.9971379792380373,0.9869539306480789,TOP SOIL,QHT,UNKNOWN
73,100276,RUUU,QUUU,0.9135135482652875,0.6911333099466596,TOP,UNKNOWN,UNKNOWN
74,100281,QFUU,QGUU,0.7123009672158375,0.6933799415602138,COARSE,QS3,UNKNOWN
75,100281,QPUR,OSTP,0.5429014123651194,0.6949862967258655,LOOSE CLAY & GRAVEL,QCS,RED     
76,100281,QCUG,QUUG,0.9802482429779196,0.7151018207851609,TIGHT,QVT,BLUE    
77,100281,FILL,QUUU,0.9808722526423187,0.7688784264067745,FILL,QSH,UNKNOWN
78,100283,OPDC,CJDN,0.7123512133302459,0.9993482120841164,ROCK,OPOD,TAN/RED 
79,100283,OSTP,OPDC,0.9654832043067759,0.5965806999657282,SHALE,OSTP,GREEN   
80,100283,OSTP,OPDC,0.9780891029183147,0.9918358585781387,SHALE,OSTP,WHITE   
81,100283,QGUU,OSTP,0.6346915557294991,0.7934313044739831,GRAVEL,QF2,DARK    
82,100283,QGUU,OSTP,0.6041354975026927,0.9992402223617486,GRAVEL,QML,DARK    
83,100283,QPUB,QPUG,0.9137575655008414,0.9912557274953296,STONEY,QVT,BLUE    
84,100283,RUUU,QUUU,0.9935011913779334,0.8933690427234269,GUMMY TOPSOIL,QVT,UNKNOWN
85,100284,RUUU,QUUU,0.9958509946551575,0.9867500753499641,TOP SOIL,UNKNOWN,UNKNOWN
86,100285,RUUU,QUUU,0.9908657892272958,0.9866016849468877,TOP SOIL,QHT,UNKNOWN
87,100286,QSUU,QWUU,0.9950912965065829,0.8744636980468092,MUCK,QSH,UNKNOWN
88,100288,RUUU,QUUU,0.99693810775186,0.9869539306480789,TOP SOIL,QHT,UNKNOWN
89,100289,RUUU,QUUU,0.9988235332237568,0.981322536855432,TOPSOIL,QHT,UNKNOWN
90,100290,RUUU,QUUU,0.9984231082706136,0.981322536855432,TOPSOIL,QHT,UNKNOWN
91,100292,RUUU,QUUU,0.9957125047173974,0.9867500753499641,TOP SOIL,UNKNOWN,UNKNOWN
92,100293,RUUU,QUUU,0.9972291192656338,0.981322536855432,TOPSOIL,UNKNOWN,UNKNOWN
93,100295,FILL,QUUU,0.9590052667945532,0.7688784264067745,FILL,QSH,UNKNOWN
